Type,Zone,value,Profile_Timeserie
Total,BigFrance,2256973915.6851854,AggregatedTimeSerie_Total_BigFrance.csv
ElecHeating,BigFrance,580159732.555488,
ElecVehicle,BigFrance,416784327.81130695,
Total,Portugal,75667584.46808057,Profile-Iberia.csv
ElecHeating,Portugal,23648226.95429531,
ElecVehicle,Portugal,10527100.23634957,
Total,Spain,357831438.52732056,Profile-Iberia.csv
ElecHeating,Spain,103297973.2313392,
ElecVehicle,Spain,65064931.5770934,
AirCondition,Spain,8585350.044952057,
nonthermo,Spain,180883183.6739359,
MaxActivePowerDemand,Spain,1500000.0,
CostActivePowerDemand,Spain,10000.0,
MaxPrimaryDemand,Spain,0.0,
CostPrimaryDemand,Spain,0.0,
MaxSecondaryDemand,Spain,0.0,
CostSecondaryDemand,Spain,0.0,
AirCondition,Portugal,1814214.489812946,
nonthermo,Portugal,39678042.78762274,
MaxActivePowerDemand,Portugal,1500000.0,
CostActivePowerDemand,Portugal,10000.0,
MaxPrimaryDemand,Portugal,0.0,
CostPrimaryDemand,Portugal,0.0,
MaxSecondaryDemand,Portugal,0.0,
CostSecondaryDemand,Portugal,0.0,
AirCondition,BigFrance,9405244.82895116,
nonthermo,BigFrance,1250624610.4894392,
MaxActivePowerDemand,BigFrance,1500000.0,
CostActivePowerDemand,BigFrance,10000.0,
MaxPrimaryDemand,BigFrance,0.0,
CostPrimaryDemand,BigFrance,0.0,
MaxSecondaryDemand,BigFrance,0.0,
CostSecondaryDemand,BigFrance,0.0,
