Name;StartLine;EndLine;MaxPowerFlow;MinPowerFlow;MaxAddedCapacity;MaxRetCapacity;InvestmentCost
ES11>Portugal;ES11;Portugal;2377;-2377;900;0;100
ES41>Portugal;ES41;Portugal;2220.94;-2220.94;900;0;100
ES43>Portugal;ES43;Portugal;1188.67;-1188.67;900;0;100
ES61>Portugal;ES61;Portugal;4754.69;-4754.69;900;0;100
ES13>BigFrance;ES13;BigFrance;1532.76;-1532.76;1000;0;100
ES22>BigFrance;ES22;BigFrance;344.09;-344.09;1000;0;100
ES51>BigFrance;ES51;BigFrance;1188.67;-1188.67;1000;0;100
ES12>ES11;ES12;ES11;8508.39;-8508.39;500;0;50
ES12>ES41;ES12;ES41;1876.85;-1876.85;500;0;50
ES13>ES12;ES13;ES12;1188.67;-1188.67;500;0;50
ES13>ES21;ES13;ES21;2220.94;-2220.94;500;0;50
ES21>ES22;ES21;ES22;3753.7;-3753.7;500;0;50
ES23>ES12;ES23;ES12;10541.64;-10541.64;500;0;50
ES23>ES13;ES23;ES13;8007.89;-8007.89;500;0;50
ES23>ES21;ES23;ES21;1188.67;-1188.67;500;0;50
ES23>ES30;ES23;ES30;1188.67;-1188.67;500;0;50
ES23>ES41;ES23;ES41;8007.89;-8007.89;500;0;50
ES23>ES42;ES23;ES42;2377.34;-2377.34;500;0;50
ES24>ES22;ES24;ES22;4598.28;-4598.28;500;0;50
ES24>ES52;ES24;ES52;1188.67;-1188.67;500;0;50
ES30>ES41;ES30;ES41;2377.34;-2377.34;500;0;50
ES30>ES42;ES30;ES42;688.18;-688.18;500;0;50
ES30>ES43;ES30;ES43;8164.3;-8164.3;500;0;50
ES41>ES43;ES41;ES43;2377.34;-2377.34;500;0;50
ES41>ES52;ES41;ES52;6131.04;-6131.04;500;0;50
ES41>ES62;ES41;ES62;3910.1;-3910.1;500;0;50
ES42>ES21;ES42;ES21;2377.34;-2377.34;500;0;50
ES42>ES30;ES42;ES30;16015.79;-16015.79;500;0;50
ES42>ES41;ES42;ES41;5098.78;-5098.78;500;0;50
ES42>ES43;ES42;ES43;3566.02;-3566.02;500;0;50
ES42>ES62;ES42;ES62;1188.67;-1188.67;500;0;50
ES51>ES24;ES51;ES24;12950.27;-12950.27;500;0;50
ES52>ES22;ES52;ES22;5943.36;-5943.36;500;0;50
ES61>ES42;ES61;ES42;6131.04;-6131.04;500;0;50
ES61>ES43;ES61;ES43;6631.54;-6631.54;500;0;50
