Type;Zone;value;Profile_Timeserie
Total;BigFrance;2256973916;AggregatedTimeSerie_Total_BigFrance.csv
Total;Portugal;75667584.47;Profile-Iberia.csv
Total;ES11;22231643.51;Profile-Iberia.csv
Total;ES12;8461039.427;Profile-Iberia.csv
Total;ES13;4774489.757;Profile-Iberia.csv
Total;ES21;18095481.49;Profile-Iberia.csv
Total;ES22;5328482.272;Profile-Iberia.csv
Total;ES23;2597572.776;Profile-Iberia.csv
Total;ES24;10769038.48;Profile-Iberia.csv
Total;ES30;55702641.07;Profile-Iberia.csv
Total;ES41;19824119.17;Profile-Iberia.csv
Total;ES42;16677844.89;Profile-Iberia.csv
Total;ES43;8828192.669;Profile-Iberia.csv
Total;ES51;62538122.87;Profile-Iberia.csv
Total;ES52;40844475.42;Profile-Iberia.csv
Total;ES61;68992191.21;Profile-Iberia.csv
Total;ES62;12166103.51;Profile-Iberia.csv
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
MaxActivePowerDemand;ES11;1500000;
MaxActivePowerDemand;ES12;1500000;
MaxActivePowerDemand;ES13;1500000;
MaxActivePowerDemand;ES21;1500000;
MaxActivePowerDemand;ES22;1500000;
MaxActivePowerDemand;ES23;1500000;
MaxActivePowerDemand;ES24;1500000;
MaxActivePowerDemand;ES30;1500000;
MaxActivePowerDemand;ES41;1500000;
MaxActivePowerDemand;ES42;1500000;
MaxActivePowerDemand;ES43;1500000;
MaxActivePowerDemand;ES51;1500000;
MaxActivePowerDemand;ES52;1500000;
MaxActivePowerDemand;ES61;1500000;
MaxActivePowerDemand;ES62;1500000;
CostActivePowerDemand;ES11;10000;
CostActivePowerDemand;ES12;10000;
CostActivePowerDemand;ES13;10000;
CostActivePowerDemand;ES21;10000;
CostActivePowerDemand;ES22;10000;
CostActivePowerDemand;ES23;10000;
CostActivePowerDemand;ES24;10000;
CostActivePowerDemand;ES30;10000;
CostActivePowerDemand;ES41;10000;
CostActivePowerDemand;ES42;10000;
CostActivePowerDemand;ES43;10000;
CostActivePowerDemand;ES51;10000;
CostActivePowerDemand;ES52;10000;
CostActivePowerDemand;ES61;10000;
CostActivePowerDemand;ES62;10000;
;;;
;;;
MaxActivePowerDemand;Portugal;1500000;
CostActivePowerDemand;Portugal;10000;
MaxPrimaryDemand;Portugal;0;
CostPrimaryDemand;Portugal;0;
MaxSecondaryDemand;Portugal;0;
CostSecondaryDemand;Portugal;0;
;;;
;;;
MaxActivePowerDemand;BigFrance;1500000;
CostActivePowerDemand;BigFrance;10000;
MaxPrimaryDemand;BigFrance;0;
CostPrimaryDemand;BigFrance;0;
MaxSecondaryDemand;BigFrance;0;
CostSecondaryDemand;BigFrance;0;
